Id,Geography,state,2010 census,2014 estimate
0500000US01001,Autauga County,Alabama,54571,55395
0500000US01003,Baldwin County,Alabama,182265,200111
0500000US01005,Barbour County,Alabama,27457,26887
0500000US01007,Bibb County,Alabama,22915,22506
0500000US01009,Blount County,Alabama,57322,57719
0500000US01011,Bullock County,Alabama,10914,10764
0500000US01013,Butler County,Alabama,20947,20296
0500000US01015,Calhoun County,Alabama,118572,115916
0500000US01017,Chambers County,Alabama,34215,34076
0500000US01019,Cherokee County,Alabama,25989,26037
0500000US01021,Chilton County,Alabama,43643,43931
0500000US01023,Choctaw County,Alabama,13859,13323
0500000US01025,Clarke County,Alabama,25833,24945
0500000US01027,Clay County,Alabama,13932,13552
0500000US01029,Cleburne County,Alabama,14972,15080
0500000US01031,Coffee County,Alabama,49948,50909
0500000US01033,Colbert County,Alabama,54428,54543
0500000US01035,Conecuh County,Alabama,13228,12670
0500000US01037,Coosa County,Alabama,11539,10886
0500000US01039,Covington County,Alabama,37765,37914
0500000US01041,Crenshaw County,Alabama,13906,13977
0500000US01043,Cullman County,Alabama,80406,81289
0500000US01045,Dale County,Alabama,50251,49484
0500000US01047,Dallas County,Alabama,43820,41711
0500000US01049,DeKalb County,Alabama,71109,71065
0500000US01051,Elmore County,Alabama,79303,80977
0500000US01053,Escambia County,Alabama,38319,37733
0500000US01055,Etowah County,Alabama,104430,103531
0500000US01057,Fayette County,Alabama,17241,16874
0500000US01059,Franklin County,Alabama,31704,31601
0500000US01061,Geneva County,Alabama,26790,26712
0500000US01063,Greene County,Alabama,9045,8553
0500000US01065,Hale County,Alabama,15760,15184
0500000US01067,Henry County,Alabama,17302,17190
0500000US01069,Houston County,Alabama,101547,104193
0500000US01071,Jackson County,Alabama,53227,52665
0500000US01073,Jefferson County,Alabama,658466,660793
0500000US01075,Lamar County,Alabama,14564,14086
0500000US01077,Lauderdale County,Alabama,92709,93096
0500000US01079,Lawrence County,Alabama,34339,33477
0500000US01081,Lee County,Alabama,140247,154255
0500000US01083,Limestone County,Alabama,82782,90787
0500000US01085,Lowndes County,Alabama,11299,10580
0500000US01087,Macon County,Alabama,21452,19425
0500000US01089,Madison County,Alabama,334811,350299
0500000US01091,Marengo County,Alabama,21027,20110
0500000US01093,Marion County,Alabama,30776,30271
0500000US01095,Marshall County,Alabama,93019,94636
0500000US01097,Mobile County,Alabama,412992,415123
0500000US01099,Monroe County,Alabama,23068,21947
0500000US01101,Montgomery County,Alabama,229363,226189
0500000US01103,Morgan County,Alabama,119490,119607
0500000US01105,Perry County,Alabama,10591,9826
0500000US01107,Pickens County,Alabama,19746,20365
0500000US01109,Pike County,Alabama,32899,33389
0500000US01111,Randolph County,Alabama,22913,22539
0500000US01113,Russell County,Alabama,52947,59608
0500000US01115,St. Clair County,Alabama,83593,86697
0500000US01117,Shelby County,Alabama,195085,206655
0500000US01119,Sumter County,Alabama,13763,13166
0500000US01121,Talladega County,Alabama,82291,81322
0500000US01123,Tallapoosa County,Alabama,41616,41165
0500000US01125,Tuscaloosa County,Alabama,194656,202212
0500000US01127,Walker County,Alabama,67023,65471
0500000US01129,Washington County,Alabama,17581,16834
0500000US01131,Wilcox County,Alabama,11670,11098
0500000US01133,Winston County,Alabama,24484,24150
0500000US02013,Aleutians East Borough,Alaska,3141,3360
0500000US02016,Aleutians West Census Area,Alaska,5561,5750
0500000US02020,Anchorage Municipality,Alaska,291826,301010
0500000US02050,Bethel Census Area,Alaska,17013,17868
0500000US02060,Bristol Bay Borough,Alaska,997,957
0500000US02068,Denali Borough,Alaska,1826,1921
0500000US02070,Dillingham Census Area,Alaska,4847,4988
0500000US02090,Fairbanks North Star Borough,Alaska,97581,99357
0500000US02100,Haines Borough,Alaska,2508,2566
0500000US02105,Hoonah-Angoon Census Area,Alaska,2150,2082
0500000US02110,Juneau City and Borough,Alaska,31275,32406
0500000US02122,Kenai Peninsula Borough,Alaska,55400,57477
0500000US02130,Ketchikan Gateway Borough,Alaska,13477,13787
0500000US02150,Kodiak Island Borough,Alaska,13592,13986
0500000US02164,Lake and Peninsula Borough,Alaska,1631,1631
0500000US02170,Matanuska-Susitna Borough,Alaska,88995,97882
0500000US02180,Nome Census Area,Alaska,9492,9817
0500000US02185,North Slope Borough,Alaska,9430,9703
0500000US02188,Northwest Arctic Borough,Alaska,7523,7717
0500000US02195,Petersburg Borough,Alaska,3815,3160
0500000US02198,Prince of Wales-Hyder Census Area,Alaska,5559,6396
0500000US02220,Sitka City and Borough,Alaska,8881,8900
0500000US02230,Skagway Municipality,Alaska,968,1036
0500000US02240,Southeast Fairbanks Census Area,Alaska,7029,6931
0500000US02261,Valdez-Cordova Census Area,Alaska,9636,9488
0500000US02270,Wade Hampton Census Area,Alaska,7459,8010
0500000US02275,Wrangell City and Borough,Alaska,2369,2364
0500000US02282,Yakutat City and Borough,Alaska,662,635
0500000US02290,Yukon-Koyukuk Census Area,Alaska,5588,5547
0500000US04001,Apache County,Arizona,71518,71828
0500000US04003,Cochise County,Arizona,131346,127448
0500000US04005,Coconino County,Arizona,134421,137682
0500000US04007,Gila County,Arizona,53597,53119
0500000US04009,Graham County,Arizona,37220,37957
0500000US04011,Greenlee County,Arizona,8437,9346
0500000US04012,La Paz County,Arizona,20489,20231
0500000US04013,Maricopa County,Arizona,3817117,4087191
0500000US04015,Mohave County,Arizona,200186,203361
0500000US04017,Navajo County,Arizona,107449,108101
0500000US04019,Pima County,Arizona,980263,1004516
0500000US04021,Pinal County,Arizona,375770,401918
0500000US04023,Santa Cruz County,Arizona,47420,46695
0500000US04025,Yavapai County,Arizona,211033,218844
0500000US04027,Yuma County,Arizona,195751,203247
0500000US05001,Arkansas County,Arkansas,19019,18594
0500000US05003,Ashley County,Arkansas,21853,20948
0500000US05005,Baxter County,Arkansas,41513,40857
0500000US05007,Benton County,Arkansas,221339,242321
0500000US05009,Boone County,Arkansas,36903,37196
0500000US05011,Bradley County,Arkansas,11508,11148
0500000US05013,Calhoun County,Arkansas,5368,5202
0500000US05015,Carroll County,Arkansas,27446,27744
0500000US05017,Chicot County,Arkansas,11800,11180
0500000US05019,Clark County,Arkansas,22995,22576
0500000US05021,Clay County,Arkansas,16083,15118
0500000US05023,Cleburne County,Arkansas,25970,25634
0500000US05025,Cleveland County,Arkansas,8689,8449
0500000US05027,Columbia County,Arkansas,24552,23933
0500000US05029,Conway County,Arkansas,21273,21083
0500000US05031,Craighead County,Arkansas,96443,102518
0500000US05033,Crawford County,Arkansas,61948,61697
0500000US05035,Crittenden County,Arkansas,50902,49548
0500000US05037,Cross County,Arkansas,17870,17227
0500000US05039,Dallas County,Arkansas,8116,7755
0500000US05041,Desha County,Arkansas,13008,12264
0500000US05043,Drew County,Arkansas,18509,18622
0500000US05045,Faulkner County,Arkansas,113237,120768
0500000US05047,Franklin County,Arkansas,18125,17805
0500000US05049,Fulton County,Arkansas,12245,12125
0500000US05051,Garland County,Arkansas,96024,97322
0500000US05053,Grant County,Arkansas,17853,18144
0500000US05055,Greene County,Arkansas,42090,43694
0500000US05057,Hempstead County,Arkansas,22609,22327
0500000US05059,Hot Spring County,Arkansas,32923,33368
0500000US05061,Howard County,Arkansas,13789,13500
0500000US05063,Independence County,Arkansas,36647,36959
0500000US05065,Izard County,Arkansas,13696,13486
0500000US05067,Jackson County,Arkansas,17997,17534
0500000US05069,Jefferson County,Arkansas,77435,72297
0500000US05071,Johnson County,Arkansas,25540,26005
0500000US05073,Lafayette County,Arkansas,7645,7111
0500000US05075,Lawrence County,Arkansas,17415,16931
0500000US05077,Lee County,Arkansas,10424,9860
0500000US05079,Lincoln County,Arkansas,14134,13970
0500000US05081,Little River County,Arkansas,13171,12532
0500000US05083,Logan County,Arkansas,22353,21958
0500000US05085,Lonoke County,Arkansas,68356,71557
0500000US05087,Madison County,Arkansas,15717,15740
